row_key,id,book_title,author,publish_year,place_name,region,language,genres_csv,narrative_era,passage_or_summary
4769:wd-Q733582-Q84,wd-Q733582-Q84,His Last Bow,Arthur Conan Doyle,1917,London,Europe,English,,1917s,"His Last Bow: Some Reminiscences of Sherlock Holmes is a 1917 collection of previously published Sherlock Holmes stories by British writer Arthur Conan Doyle, including the titular short story, ""His Last Bow. The War Service of Sherlock Holmes"" (1917). The collection's first US edition adjusts the anthology's subtitle to Some Later Reminiscences of Sherlock Holmes."
3467:wd-Q3009816-Q90,wd-Q3009816-Q90,Cécile est morte,Georges Simenon,1942,Paris,Europe,French,,1942s,"For six months Cécile had been pestering Chief Superintendent Maigret, pitching camp in the waiting room, endlessly patient, to report to him that the furniture in the apartment she shared with her aunt had mysteriously shifted position during the night. So much trouble for so self-effacing a woman to create! Clearly she was a spinster, and this was just the sort of fanciful notion spinsters cling to, to plague chief superintendents who have full case rosters. His colleagues teased him about his ""girlfriend""; her unassuming stubbornness got on his nerves; her very lack of any style or attraction was an offense. It was understandable that he should put off seeing her as long as possible on one of the busiest days of his career....

It was an oversight he came to regret...."
5936:wd-Q972066-Q3992,wd-Q972066-Q3992,Maigret at the Gai-Moulin,Georges Simenon,1931,Liège,Europe,French,,1931s,"Maigret at the Gai-Moulin, also known as The Dancer at the Gai-Moulin, is a detective novel by the Belgian writer Georges Simenon."
5939:wd-Q3548512-Q55,wd-Q3548512-Q55,Maigret in Holland,Georges Simenon,1931,Netherlands,Europe,French,,1931s,"Jules Maigret, or simply Maigret, is a fictional French police detective, a commissaire (""inspector"") of the Paris Brigade Criminelle, created by writer Georges Simenon. The character's full name is Jules Amédée François Maigret."
8810:wd-Q1885266-Q24879,wd-Q1885266-Q24879,The Hanged Man of Saint-Pholien,Georges Simenon,1931,Bremen,Europe,French,,1931s,The Crime of Inspector Maigret is a novel by the Belgian writer Georges Simenon. The original French-language version Le Pendu de Saint-Pholien appeared in 1931: it is one of the earliest novels by Simenon featuring the detective Jules Maigret.
10446:wd-Q3997228-Q15682,wd-Q3997228-Q15682,Trafalgar,Benito Pérez Galdós,1873,Cádiz,Europe,Spanish,,1873s,"""Trafalgar"" is a novel by Spanish author Benito Pérez Galdós and the first novel of the first series in the Episodios Nacionales . It was first published in 1873 in Spain. The novel is set at the beginning of the 19th century and narrates the Battle of Trafalgar during the Napoleonic Wars."
4585:wd-Q113367328-Q656,wd-Q113367328-Q656,Goodventures and Ruminations of Lucius Katin,Boris Akunin,2019,Saint Petersburg,Europe,Russian,,2019s,"novel by Boris Akunin, part of History of the Russian State in Novels"
4702:wd-Q113367343-Q235,wd-Q113367343-Q235,He Leaving Asked,Boris Akunin,2022,Monaco,Europe,Russian,,2022s,"novel by Boris Akunin, part of History of the Russian State in Novels"
4013:wd-Q3721314-Q2634,wd-Q3721314-Q2634,Elegia di Madonna Fiammetta,Giovanni Boccaccio,1344,Naples,Europe,medieval Italian,,1344s,"Elegia di Madonna Fiammetta, or The Elegy of Lady Fiammetta in English, is a novel by the Italian writer Giovanni Boccaccio, probably written between 1343 and 1344. Written in the form of a first-person confessional monologue, it describes the protagonist, Fiammetta's, passion for Panfilo, a Florentine merchant, and takes place in Naples. It has been characterised as the first psychological novel in Western literature. It consists of a prologue and nine chapters."
4716:wd-Q71735833-Q41,wd-Q71735833-Q41,Hearts of Stone,Simon Scarrow,0,Greece,Europe,English,,,"1938. A perfect summer on the Greek island of Lefkas for three young people untroubled by the simmering politics of Europe. Peter, visiting from Germany while his father leads an archaeological dig, has become close friends with locals Andreas and Eleni. As the world slides towards conflict and Peter is forced to leave, they swear to meet again. 1943: Andreas and Eleni have joined the partisan forces resisting the German invasion. Peter has returned - now a dangerously well-informed enemy intelligence officer. A friendship formed in peace will turn into a desperate battle between enemies sworn to sacrifice everything for the countries that they love..."
5591:wd-Q1217172-Q128466,wd-Q1217172-Q128466,Les Fiançailles de M. Hire,Georges Simenon,1933,Villejuif,Europe,French,,1933s,"Simenon (1903-1989), creator of Inspector Maigret, dispassionately describes the fate of the odd Mr. Hire, a reclusive middle-aged man whose life of dull routine begins an inevitable slide into disaster when a prostitute is brutally murdered near his apartment in a Paris suburb. Guilty only of a slightly disreputable occupation, a voyeuristic fascination and an unusual physical appearance, Hire inadvertently seals his fate with mundane, unremarkable observations and suggestions."
10343:wd-Q3998137-Q34266,wd-Q3998137-Q34266,Three Deaths,Leo Tolstoy,1859,Russian Empire,Europe,Russian,,1859s,"""Three Deaths: A Tale"" is a short story by Leo Tolstoy first published in 1859. It narrates the deaths of three subjects: a noblewoman, a coachman and a tree."
5836:wd-Q1663140-Q4191,wd-Q1663140-Q4191,Lucerne,Leo Tolstoy,1857,Lucerne,Europe,Russian,,1857s,"""Lucerne: From the Recollections of Prince D. Nekhliudoff"" is a first person narrative, in the form of diary and based on personal experiences, written by Leo Tolstoy in 1857 and translated into English in 1899 by Nathan Haskell Dole. It takes the form of a travel diary of someone in Lucerne, Switzerland."
4399:wd-Q1193400-Q27,wd-Q1193400-Q27,Foundling Mick,Jules Verne,1893,Ireland,Europe,French,,1893s,Foundling Mick is an adventure novel written by Jules Verne. The social elements of this novel seem to be inspired by the works of Charles Dickens.
6060:wd-Q645024-Q28513,wd-Q645024-Q28513,Mathias Sandorf,Jules Verne,1885,Austria–Hungary,Europe,French,,1885s,"Mathias Sandorf is an 1885 adventure book by the French writer Jules Verne first serialized in Le Temps in 1885. It employs many of the devices that had served well in his earlier novels: islands, cryptograms, surprise revelations of identity, technically advanced hardware and a solitary figure bent on revenge. Verne planned Mathias Sandorf as the Mediterranean adventure of his series of novels called Voyages extraordinaires. He dedicated the novel to the memory of Alexandre Dumas."
8195:wd-Q768605-Q1288,wd-Q768605-Q1288,The Castle From Carpathians,Jules Verne,1892,Carpathians,Europe,French,,1892s,"The Carpathian Castle is a Gothic novel by Jules Verne first published in 1892. It is possible that Bram Stoker took inspiration from this for his 1897 novel Dracula. Due to castle aspect and local toponymy, it is assumed that Colț Castle in Hunedoara county inspired Jules Verne. Probable inspiration for Verne was his extended stay in Bratislava and the Devín castle in present day Slovakia, where he also wrote his novel The Danube Pilot."
10533:wd-Q183565-Q20,wd-Q183565-Q20,Twenty Thousand Leagues Under the Sea,Jules Verne,1869,Norway,Europe,French,,1869s,"Twenty Thousand Leagues Under the Seas is a science fiction adventure novel by the French writer Jules Verne. It is considered a classic within its genres and world literature. It was originally serialised from March 1869 to June 1870 in Pierre-Jules Hetzel's French fortnightly periodical, the Magasin d'éducation et de récréation. A deluxe octavo edition, published by Hetzel in November 1871, included 111 illustrations by Alphonse de Neuville and Édouard Riou."
8371:wd-Q16438-Q2044,wd-Q16438-Q2044,The Decameron,Giovanni Boccaccio,0,Florence,Europe,medieval Italian,,,"The Decameron, subtitled Prince Galehaut and sometimes nicknamed l'Umana commedia, is a collection of short stories by the 14th-century Italian author Giovanni Boccaccio (1313–1375). The book is structured as a frame story containing 100 tales told by a group of seven young women and three young men; they shelter in a secluded villa just outside Florence in order to escape the Black Death, which was afflicting the city. The epidemic is likely what Boccaccio used for the basis of the book which was thought to be written between 1348 and 1353. The various tales of love in The Decameron range from the erotic to the tragic. Tales of wit, practical jokes, and life lessons also contribute to the mosaic. In addition to its literary value and widespread influence, it provides a document of life at"
10380:wd-Q16564899-Q212,wd-Q16564899-Q212,Tin Sky,Ben Pastor,2013,Ukraine,Europe,English,,2013s,"""Ukraine, 1943. Having barely escaped the inferno of Stalingrad, Major Martin Bora is serving on the Russian front as a German counterintelligence officer. Weariness, disillusionment, and battle fatigue are a soldier's daily fare, yet Bora seems to be one of the few whose sanity is not marred by the horrors of war. As the Wehrmacht prepare for the Kursk counter-offensive, a Russian general defects aboard a T-34, the most advanced tank of the war. Soon he and another general, this one previously captured, are found dead in their cells. Everything appears to exclude the likelihood of foul play, but Bora begins an investigation, in a stubborn attempt to solve a mystery that will come much too close to home.""--Back cover."
5933:wd-Q1366540-Q17393,wd-Q1366540-Q17393,Maigret and the Yellow Dog,Georges Simenon,1931,Concarneau,Europe,French,,1931s,Maigret and the Yellow Dog is a detective novel by the Belgian writer Georges Simenon.
9232:wd-Q2615930-Q3997904,wd-Q2615930-Q3997904,The Master of Ballantrae,Robert Louis Stevenson,1889,Ballantrae,Europe,English,,1889s,"The Master of Ballantrae: A Winter's Tale is an 1889 novel by the Scottish author Robert Louis Stevenson, focusing upon the conflict between two brothers, Scottish noblemen whose family is torn apart by the Jacobite rising of 1745. He worked on the book in Tautira after his health was restored."
3466:wd-Q5795905-Q2807,wd-Q5795905-Q2807,Cánovas,Benito Pérez Galdós,1912,Madrid,Europe,Spanish,,1912s,sixth and last novel of the fifth series of the Episodios Nacionales by Benito Pérez Galdós
5935:wd-Q328061-Q646708,wd-Q328061-Q646708,Maigret at the Crossroads,Georges Simenon,1931,Arpajon,Europe,French,,1931s,"Maigret at the Crossroads is a detective novel by the Belgian writer Georges Simenon. Published in 1931, it is one of the earliest novels to feature Inspector Maigret in the role of the chief police investigator, a character that has since become one of the best-known detectives in fiction."
9446:wd-Q3795974-Q84,wd-Q3795974-Q84,The Phoenix and the Carpet,Edith Nesbit,1904,London,Europe,English,,1904s,"The Phoenix and the Carpet is a fantasy novel for children. It is written by E. Nesbit and first published in 1904. It is the second in a trilogy of novels that begins with Five Children and It (1902), and follows the adventures of the same five children: Cyril, Anthea, Robert, Jane and the Lamb. Their mother buys the children a new carpet to replace one from the nursery that they destroyed in an accidental fire. The children find an egg in the carpet, which hatches into a talking Phoenix. The Phoenix explains that the carpet is a magic one that will grant them three wishes a day. The five children go on many adventures, which eventually wear out their magic carpet. The adventures are continued and concluded in the third book of the trilogy, The Story of the Amulet (1906)."
5938:wd-Q3210416-Q185352,wd-Q3210416-Q185352,Maigret in Exile,Georges Simenon,1942,Luçon,Europe,French,,1942s,Maigret in Exile is a 1942 detective novel by the Belgian mystery writer Georges Simenon.
5945:wd-Q3237799-Q126898,wd-Q3237799-Q126898,Maigret on the Riviera,Georges Simenon,1932,Antibes,Europe,French,,1932s,"Georges Joseph Christian Simenon was a Belgian writer who created the fictional detective Jules Maigret. One of the most prolific and successful authors of the 20th century, he published around 400 novels, 21 volumes of memoirs and many short stories, selling over 500 million copies."
6011:wd-Q1214705-Q3667188,wd-Q1214705-Q3667188,Marie of the Port,Georges Simenon,1938,Cherbourg,Europe,French,,1938s,"Chit of a Girl is a 1938 novel by the Belgian writer Georges Simenon. It is a stand-alone novel by Simenon, best known for his long running Inspector Maigret series. It was first translated and published in English in 1949."
6008:wd-Q6762098-Q29,wd-Q6762098-Q29,Marianela,Benito Pérez Galdós,1878,Spain,Europe,Spanish,,1878s,"«Marianela» (1878) pertenece a lo que Galdós llamó Novelas de la Primera época (que comprenden obras como «Doña Perfecta» y «Gloria»). Partiendo de un caso extraído de un tratado de Psicología (la recuperación de la visión en un ciego congénito), Galdós creó una de sus novelas más famosas. La vida trágica de la muchacha Nela, fea y deforme, enamorada del ciego Pablo a quien sirve de lazarillo, es el hilo conductor sobre el que se entrelazan tres temas: la ceguera y su posible cura, la relación sentimental y la situación socioeconómica. La maestría del escritor canario se demuestra en la articulación narrativa de las oposiciones principales: belleza física y belleza moral; industria y agricultura, el hoy y el ayer; cultura y naturaleza. La relación del ciego con su lazarillo ha quedado como"
7677:wd-Q3228304-Q82185,wd-Q3228304-Q82185,Strange Inheritance,Georges Simenon,1941,La Rochelle,Europe,French,,1941s,Strange Inheritance or The Traveller on All Saints' Day is a 1941 mystery novel by the Belgian writer Georges Simenon. It was translated into English by Geoffrey Sainsbury.
8548:wd-Q1758876-Q727,wd-Q1758876-Q727,The Fall of the King,Johannes V. Jensen,1901,Amsterdam,Europe,German,,1901s,"The Fall of the King is a novel by Danish author Johannes V. Jensen, published in three parts from 1900 to 1901. It tells the story of Mikkel Thøgersen and the social entanglements which bring him into the service of king Christian II of Denmark."
